onset	duration	trial_type
0	15	discard
15	30.75	static
45	120	motion
45.75	11.25	coherent
57	12	incoherent
69	15	coherent
84	0.75	incoherent
84.75	9.75	coherent
94.5	0.75	incoherent
95.25	8.25	coherent
103.5	14.25	incoherent
117.75	26.25	coherent
144	8.25	incoherent
152.25	6	coherent
158.25	6.75	incoherent
165	15	mae
180	30	static
210	23.25	coherent
210	120	motion
233.25	13.5	incoherent
246.75	4.5	coherent
251.25	0.75	incoherent
252	36	coherent
288	9.75	incoherent
297.75	21.75	coherent
319.5	10.5	incoherent
330	15	mae
345	30	static
375	15	discard
