onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	3	coherent
49	1	incoherent
50	6.5	coherent
56.5	3	incoherent
59.5	3	coherent
62.5	6	incoherent
68.5	2.5	coherent
71	2.5	incoherent
73.5	2	coherent
75.5	2.5	incoherent
78	5.5	coherent
83.5	6.5	incoherent
90	1	coherent
91	1.5	incoherent
92.5	1	coherent
93.5	4	incoherent
97.5	2.5	coherent
100	20	incoherent
120	6.5	coherent
126.5	3.5	incoherent
130	4	coherent
134	9	incoherent
143	13.5	coherent
156.5	7	incoherent
163.5	1.5	coherent
165	15	mae
180	30	static
210	4.5	coherent
210	120	motion
214.5	7.5	incoherent
222	2	coherent
224	6.5	incoherent
230.5	4	coherent
234.5	12.5	incoherent
247	2.5	coherent
249.5	7	incoherent
256.5	2	coherent
258.5	4	incoherent
262.5	1	coherent
263.5	2.5	incoherent
266	1	coherent
267	8.5	incoherent
275.5	6	coherent
281.5	2.5	incoherent
284	4.5	coherent
288.5	2	incoherent
290.5	2	coherent
292.5	4.5	incoherent
297	8.5	coherent
305.5	3.5	incoherent
309	2.5	coherent
311.5	2.5	incoherent
314	3	coherent
317	2	incoherent
319	3.5	coherent
322.5	3	incoherent
325.5	1	coherent
326.5	2.5	incoherent
329	1	coherent
330	15	mae
345	30	static
375	15	discard
