onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	3	coherent
49	2	incoherent
51	4	coherent
55	4	incoherent
59	2	coherent
61	3	incoherent
64	3	coherent
67	4	incoherent
71	2	coherent
73	4	incoherent
77	3	coherent
80	2	incoherent
82	1	coherent
83	4	incoherent
87	2	coherent
89	7	incoherent
96	1	coherent
97	2	incoherent
99	5	coherent
104	7	incoherent
111	4	coherent
115	6	incoherent
121	4	coherent
125	4	incoherent
129	2	coherent
131	1	incoherent
132	2	coherent
134	5	incoherent
139	2	coherent
141	4	incoherent
145	2	coherent
147	2	incoherent
149	2	coherent
151	6	incoherent
157	8	coherent
165	15	mae
180	30	static
210	4	coherent
210	120	motion
214	3	incoherent
217	2	coherent
219	2	incoherent
221	2	coherent
223	1	incoherent
224	2	coherent
226	3	incoherent
229	2	coherent
231	6	incoherent
237	4	coherent
241	5	incoherent
246	9	coherent
255	6	incoherent
261	10	coherent
271	7	incoherent
278	3	coherent
281	6	incoherent
287	9	coherent
296	4	incoherent
300	11	coherent
311	4	incoherent
315	10	coherent
325	5	incoherent
330	15	mae
345	30	static
375	15	discard
