onset	duration	trial_type
0	15	discard
15	31	static
45	120	motion
46	12	coherent
58	8	incoherent
66	5	coherent
71	14	incoherent
85	7	coherent
92	4	incoherent
96	8	coherent
104	8	incoherent
112	2	coherent
114	6	incoherent
120	7	coherent
127	24	incoherent
151	6	coherent
157	6	incoherent
163	2	coherent
165	15	mae
180	30	static
210	7	coherent
210	120	motion
217	5	incoherent
222	2	coherent
224	6	incoherent
230	15	coherent
245	13	incoherent
258	17	coherent
275	14	incoherent
289	6	coherent
295	5	incoherent
300	8	coherent
308	13	incoherent
321	9	coherent
330	15	mae
345	30	static
375	15	discard
