subject	tr	task	roi	beta	tval	zval
sub-01	0500	AA	hMT+ L	1.1345772128124534	8.139473768378991	7.948106261232995
sub-01	0500	AA	hMT+ R	1.0362505222656928	6.168445464764269	6.061735216010412
sub-01	0500	AA	V1 L	0.13273204020525572	0.7437416757917393	0.7432080811990834
sub-01	0500	AA	V1 R	0.1548653247863866	1.1209819796688627	1.119679502898571
sub-01	0500	UA	hMT+ L	1.047530881501231	8.21963865566412	8.008990196443706
sub-01	0500	UA	hMT+ R	0.9489560192633306	5.724184365617279	5.639804857130206
sub-01	0500	UA	V1 L	0.33594519942963574	1.831694302062585	1.8271923543287762
sub-01	0500	UA	V1 R	0.32003291582644733	2.3779278723492494	2.3701296745928255
sub-01	0750	AA	hMT+ L			
sub-01	0750	AA	hMT+ R			
sub-01	0750	AA	V1 L			
sub-01	0750	AA	V1 R			
sub-01	0750	UA	hMT+ L	0.8752064525306005	5.993093287396727	5.860074137560955
sub-01	0750	UA	hMT+ R	0.5779984378526085	3.317039918706281	3.287100189158802
sub-01	0750	UA	V1 L	0.6340358110884595	3.3923998919533638	3.3671131569204524
sub-01	0750	UA	V1 R	0.40491738067745797	3.2633804242911912	3.2430637189454616
sub-01	1000	AA	hMT+ L	1.1724463825964822	6.459366769315238	6.2559687209835815
sub-01	1000	AA	hMT+ R	0.7944650872584142	4.471570993950191	4.385230160335435
sub-01	1000	AA	V1 L	0.30007112003913705	1.5821672245341902	1.575926840908738
sub-01	1000	AA	V1 R	0.29200753259666523	2.36617970084594	2.3542536597087196
sub-01	1000	UA	hMT+ L	1.2698191056663575	9.688008872581205	9.036990578618099
sub-01	1000	UA	hMT+ R	0.9795924144686265	8.106403536688974	7.717461915492616
sub-01	1000	UA	V1 L	0.5643109829859673	3.625120173215642	3.584768502247669
sub-01	1000	UA	V1 R	0.4461162246758044	4.684700595130828	4.608255062414199
sub-01	2500	AA	hMT+ L	0.963383739013354	4.233042291929886	4.058965493374494
sub-01	2500	AA	hMT+ R	0.8041578304281743	3.5880808938835766	3.471719353602282
sub-01	2500	AA	V1 L	-0.07394792420756348	-0.4516057686869154	-0.44989607699611156
sub-01	2500	AA	V1 R	-0.04540829073628753	-0.307940283861717	-0.3066806728783245
sub-01	2500	UA	hMT+ L	1.3508420572510251	6.775010613163909	6.190941682124129
sub-01	2500	UA	hMT+ R	1.0741489378243818	4.812898938938597	4.528004989652987
sub-01	2500	UA	V1 L	0.5840107718715929	2.902701169340263	2.8447407239723166
sub-01	2500	UA	V1 R	0.5574288414651024	3.35856937496732	3.273089580271101
sub-02	0500	AA	hMT+ L	1.2812452302844592	7.405825802956616	7.226912072809917
sub-02	0500	AA	hMT+ R	1.018361143855381	5.95532424277015	5.806249177968482
sub-02	0500	AA	V1 L	0.5829024409933203	4.734095356526519	4.691910651924777
sub-02	0500	AA	V1 R	0.7936674101929705	5.480883060980183	5.416241004168399
sub-02	0500	UA	hMT+ L	1.4298697921735295	9.57204301765165	9.231275701534525
sub-02	0500	UA	hMT+ R	1.047431250172122	8.168897966421957	7.921466383158375
sub-02	0500	UA	V1 L	0.224192652357553	2.2179362186763485	2.208270318801833
sub-02	0500	UA	V1 R	0.3654316754023753	2.6735422628308623	2.663503050115593
sub-02	0750	AA	hMT+ L			
sub-02	0750	AA	hMT+ R			
sub-02	0750	AA	V1 L			
sub-02	0750	AA	V1 R			
sub-02	0750	UA	hMT+ L	1.5127512828591867	8.043339975131115	7.717866139475332
sub-02	0750	UA	hMT+ R	1.1425537436895181	6.612128051670862	6.380616905269222
sub-02	0750	UA	V1 L	0.8272324628568128	6.2557005419048	6.122890699402729
sub-02	0750	UA	V1 R	1.1601663460240048	7.350448201554737	7.144210975308311
sub-02	1000	AA	hMT+ L	1.5719842794346852	7.391318223059625	7.0834928547720635
sub-02	1000	AA	hMT+ R	0.828437446660524	4.094921897383858	4.004172637536727
sub-02	1000	AA	V1 L	0.5483826844558553	3.5373767800055784	3.4899663424216874
