subject	tr	task	roi	beta	tval	zval
sub-01	0500	AA	hMT+ L	0.8609892183645705	4.388956689643108	4.355988358254129
sub-01	0500	AA	hMT+ R	0.7225792959314927	3.09042314781127	3.0736422593632637
sub-01	0500	AA	V1 L	-0.5469480665328268	-2.203021520404548	-2.198283944674833
sub-01	0500	AA	V1 R	-0.3628573056636766	-1.8469890148613717	-1.8438986934981025
sub-01	0500	UA	hMT+ L	1.034470821633685	5.483909405220027	5.4209176403357615
sub-01	0500	UA	hMT+ R	1.1270439947042241	4.92221162801512	4.873059188770025
sub-01	0500	UA	V1 L	0.16230827947440835	0.5537855087063074	0.5534593527725803
sub-01	0500	UA	V1 R	0.27839488615572044	1.415901388636728	1.414097228147509
sub-01	0750	AA	hMT+ L			
sub-01	0750	AA	hMT+ R			
sub-01	0750	AA	V1 L			
sub-01	0750	AA	V1 R			
sub-01	0750	UA	hMT+ L	0.8164456912407035	4.83717807578415	4.761856306185248
sub-01	0750	UA	hMT+ R	0.7662212872750924	4.028958732499359	3.98226659302495
sub-01	0750	UA	V1 L	0.6634089524362146	3.2380714450064327	3.2166661345170855
sub-01	0750	UA	V1 R	0.4980649021330084	3.5861729728467138	3.5600313153787524
sub-01	1000	AA	hMT+ L	1.2725689133897156	6.2505561581895845	6.064319975116511
sub-01	1000	AA	hMT+ R	1.0130443516317857	5.225877712643888	5.108744205912653
sub-01	1000	AA	V1 L	0.17799061352976933	0.8594355162717449	0.8577136003181753
sub-01	1000	AA	V1 R	0.13414784449352396	0.9668398062447778	0.9647866100002503
sub-01	1000	UA	hMT+ L	1.2746534692158389	9.12562636096961	8.590200516604362
sub-01	1000	UA	hMT+ R	0.9510331429766746	7.290508277975122	7.001835940705257
sub-01	1000	UA	V1 L	0.603285492085221	3.63799260601807	3.5979768127826883
sub-01	1000	UA	V1 R	0.5071201118393237	4.887434013445232	4.801953847893361
sub-01	2500	AA	hMT+ L	0.8901547289581959	3.466208194495791	3.364244341238526
sub-01	2500	AA	hMT+ R	0.7193915905714954	2.884115644609483	2.8242914933242487
sub-01	2500	AA	V1 L	-0.43962788501601346	-2.1612269287179706	-2.131774298146671
sub-01	2500	AA	V1 R	-0.2818762454689727	-1.708582832086218	-1.690526809799094
sub-01	2500	UA	hMT+ L	1.4280726132724204	6.973112291173723	6.34207065342635
sub-01	2500	UA	hMT+ R	1.2437461203540368	5.49513571467767	5.126604738429517
sub-01	2500	UA	V1 L	0.37357693449362367	1.788461689217132	1.7704029308925624
sub-01	2500	UA	V1 R	0.46513176084203584	2.7285981733420615	2.6789490552923514
sub-02	0500	AA	hMT+ L	1.3560733152897124	7.417194983147191	7.262262982088713
sub-02	0500	AA	hMT+ R	1.0508344476564329	5.804515358969241	5.676672261140091
sub-02	0500	AA	V1 L	0.39293906338663515	2.848562143171671	2.8385999132996287
sub-02	0500	AA	V1 R	0.4953384613292734	3.252998615486067	3.2376060742114015
sub-02	0500	UA	hMT+ L	1.2591597242534656	8.769178727972072	8.50722846655422
sub-02	0500	UA	hMT+ R	1.1977118398167068	9.60933658593207	9.225815774423907
sub-02	0500	UA	V1 L	0.1542919190301598	1.5668737615650472	1.5635017926599108
sub-02	0500	UA	V1 R	0.27208114402432754	2.121871743110819	2.1172463220521243
sub-02	0750	AA	hMT+ L			
sub-02	0750	AA	hMT+ R			
sub-02	0750	AA	V1 L			
sub-02	0750	AA	V1 R			
sub-02	0750	UA	hMT+ L	1.6717860162437554	7.851363455414438	7.567533323474385
sub-02	0750	UA	hMT+ R	1.55776387558084	7.764225527046047	7.4336037042733984
sub-02	0750	UA	V1 L	0.7865883024970026	5.084312197883404	5.0102921434236904
sub-02	0750	UA	V1 R	1.1642091340067884	6.314215868117562	6.170669177623135
sub-02	1000	AA	hMT+ L	1.826272148054761	8.64548157989891	8.190127891481453
sub-02	1000	AA	hMT+ R	1.3309671109884567	6.759333930637036	6.477079978697047
sub-02	1000	AA	V1 L	0.4453452960253662	2.996454538872202	2.9689356430320224
sub-02	1000	AA	V1 R	0.6980089588878977	4.040608822266808	3.9872312475951
sub-02	1000	UA	hMT+ L	0.789400146537048	3.802479688250827	3.744199335191989
sub-02	1000	UA	hMT+ R	0.5790736552888329	2.4293972062705125	2.381401411100656
sub-02	1000	UA	V1 L	0.15623585062486087	1.0769739368598148	1.0740930058200029
sub-02	1000	UA	V1 R	0.3744113074756511	2.0198280672641697	2.0109682883025473
sub-02	2500	AA	hMT+ L	1.5754682851209945	8.59109068941564	7.40761982816535
sub-02	2500	AA	hMT+ R	1.0021952024852057	5.453919942528674	4.827800045360585
sub-02	2500	AA	V1 L	0.4350284127425958	3.1937935958044146	3.113651502572357
sub-02	2500	AA	V1 R	0.47024474479537726	3.276853507171155	3.1934569367849917
sub-02	2500	UA	hMT+ L	1.5583842278047184	6.638445963905757	6.019164617910819
sub-02	2500	UA	hMT+ R	1.2943338840509633	4.754348313162921	4.395100764749268
sub-02	2500	UA	V1 L	0.5392383374368732	2.8192132145325908	2.727679997420817
sub-02	2500	UA	V1 R	0.8136521348520135	3.922862889751576	3.784943300464441
sub-03	0500	AA	hMT+ L	1.0992851701549466	11.35683122286959	10.832080596333979
sub-03	0500	AA	hMT+ R	0.7797734379034921	7.8911408629858055	7.667608868280302
sub-03	0500	AA	V1 L	0.9302557010448332	6.9294266005848835	6.774357874779478
sub-03	0500	AA	V1 R	0.4582770291517407	5.616278048352472	5.538409501186078
sub-03	0500	UA	hMT+ L	0.7357006456851382	7.623000676391235	7.4345523142337315
sub-03	0500	UA	hMT+ R	0.5516699886257234	5.161069395508913	5.076277916083345
sub-03	0500	UA	V1 L	0.45972130981534315	4.109977658577352	4.055457307863812
sub-03	0500	UA	V1 R	0.3625603791314428	4.921578891416274	4.837984811243787
sub-03	0750	AA	hMT+ L			
sub-03	0750	AA	hMT+ R			
sub-03	0750	AA	V1 L			
sub-03	0750	AA	V1 R			
sub-03	0750	UA	hMT+ L	0.8243297627436068	6.066215713924163	5.905909121233455
sub-03	0750	UA	hMT+ R	0.6075298428730489	4.2454257305707745	4.1630906060513855
sub-03	0750	UA	V1 L	0.9230130995541352	6.727055919744188	6.501787359487958
sub-03	0750	UA	V1 R	0.6291622108269421	5.73467234279096	5.5770522555086774
sub-03	1000	AA	hMT+ L	0.9484346008813693	5.781298451641094	5.617017322685372
sub-03	1000	AA	hMT+ R	0.6369677621310971	3.6687909459336474	3.618298892062645
sub-03	1000	AA	V1 L	0.41456720470330455	2.004185007577602	1.995402181643415
sub-03	1000	AA	V1 R	0.3229138103881039	2.3535597609303127	2.3381312713080886
sub-03	1000	UA	hMT+ L	0.7461803643612215	7.182009739816391	6.878103586918793
sub-03	1000	UA	hMT+ R	0.41632738906628614	3.5749050206291066	3.5246123380583017
sub-03	1000	UA	V1 L	0.639593255865178	3.8596570224658167	3.8069957242053984
sub-03	1000	UA	V1 R	0.4314975357590679	4.450552112151243	4.355667767503978
sub-03	2500	AA	hMT+ L	0.9181788054779753	5.863567818999635	5.415769505326246
sub-03	2500	AA	hMT+ R	0.6923626534035999	4.085145985238212	3.7845377199765187
sub-03	2500	AA	V1 L	0.803374009616713	4.1577817595013205	3.9757947697978446
sub-03	2500	AA	V1 R	0.5765614137330544	4.388317124211409	4.185721969694293
sub-03	2500	UA	hMT+ L	0.18099973868139635	0.852092790541579	0.8345224602819488
sub-03	2500	UA	hMT+ R	0.3635023591916349	1.563076085427961	1.5299990603800684
sub-03	2500	UA	V1 L	0.8376969725343372	3.212749519771988	3.1019821354835795
sub-03	2500	UA	V1 R	0.3263844186789869	1.5195066771002246	1.4925290317104176
sub-05	0500	AA	hMT+ L	0.612201033241485	5.098702757456701	5.0344147401454835
sub-05	0500	AA	hMT+ R	0.7590343424497298	5.366695249774999	5.292819769010548
sub-05	0500	AA	V1 L	1.091637394369835	6.142973012053694	6.060043904059458
sub-05	0500	AA	V1 R	0.6964171703659343	4.8136407246737285	4.771987691116467
sub-05	0500	UA	hMT+ L	0.6062938536453375	4.246769181360055	4.208811429774645
sub-05	0500	UA	hMT+ R	0.521201368533571	2.983628242052454	2.96592901440808
sub-05	0500	UA	V1 L	0.5587567546872867	2.6184379507355047	2.6083091833231467
sub-05	0500	UA	V1 R	0.5268927773205927	2.8486281371545545	2.8384590969537435
sub-05	0750	AA	hMT+ L			
sub-05	0750	AA	hMT+ R			
sub-05	0750	AA	V1 L			
sub-05	0750	AA	V1 R			
sub-05	0750	UA	hMT+ L	1.023223082958595	7.528852484111992	7.300162681842147
sub-05	0750	UA	hMT+ R	0.9720981440447414	6.070041507185106	5.934034457516236
sub-05	0750	UA	V1 L	1.2634004110260506	8.514586449339312	8.189031708862872
sub-05	0750	UA	V1 R	0.9738009386943642	6.663905683010061	6.511191334934159
sub-05	1000	AA	hMT+ L	0.9798814820941615	7.408210914675466	7.110661058120035
sub-05	1000	AA	hMT+ R	1.1830987696020332	8.311652087630279	7.912891557973204
sub-05	1000	AA	V1 L	1.362747139100146	6.469066713923517	6.2672408211701605
sub-05	1000	AA	V1 R	1.118250471592193	6.496368389777933	6.305514970759618
sub-05	1000	UA	hMT+ L	0.6743886297217994	4.173680053126765	4.101311427909973
sub-05	1000	UA	hMT+ R	0.8409437845457354	3.991127546271076	3.931025430381346
sub-05	1000	UA	V1 L	1.2645305114585832	4.746216742997914	4.661759205242992
sub-05	1000	UA	V1 R	0.9662393469795305	4.708057649782826	4.632415234142263
sub-05	2500	AA	hMT+ L	0.835803163989502	5.720082105483877	5.238266405826418
