subject	tr	task	roi	beta	tval	zval
sub-01	0500	AA	hMT+ L	1.0835425390054352	8.1824216540243	7.987053301949099
sub-01	0500	AA	hMT+ R	0.9855300835524725	6.02045249297477	5.920783353534605
sub-01	0500	AA	V1 L	0.0029409811776155595	0.0024448495666754924	0.002473929473363166
sub-01	0500	AA	V1 R	0.05644436252293587	0.43328935602558116	0.43294196160609133
sub-01	0500	UA	hMT+ L	1.050916176499348	8.70487078762048	8.459119533675954
sub-01	0500	UA	hMT+ R	0.980523521310572	5.931774732838824	5.842951900400171
sub-01	0500	UA	V1 L	0.29947033727404365	1.6113621546621004	1.6082272154558852
sub-01	0500	UA	V1 R	0.3054026041637761	2.339645255158657	2.332135955870038
sub-01	0750	AA	hMT+ L	1.0966751949162246	7.321140794146881	7.114389776012437
sub-01	0750	AA	hMT+ R	0.9839778719096903	6.217834505961342	6.0630770656450785
sub-01	0750	AA	V1 L	0.23924391924852148	1.36020349452424	1.3566283998156465
sub-01	0750	AA	V1 R	0.09772448789074947	0.7956166609178096	0.794222161234195
sub-01	0750	UA	hMT+ L	0.8743176585471882	6.135784042830527	5.9935965225775405
sub-01	0750	UA	hMT+ R	0.6522462133838118	3.8871016621074452	3.8422877241903484
sub-01	0750	UA	V1 L	0.6471461329104541	3.5971927577140335	3.5681370482957315
sub-01	0750	UA	V1 R	0.43702858733233135	3.6163390848221755	3.5896258036081585
sub-01	1000	AA	hMT+ L	1.2024104799761695	6.668484718238378	6.445894296892259
sub-01	1000	AA	hMT+ R	0.8544131535039375	4.763240676782102	4.663923301953446
sub-01	1000	AA	V1 L	0.26794112168184064	1.4159441596336588	1.4112498642394307
sub-01	1000	AA	V1 R	0.2506357253363898	2.0341203354822985	2.0257178835966525
sub-01	1000	UA	hMT+ L	1.2800641376604882	10.917961858902757	10.045825256106365
sub-01	1000	UA	hMT+ R	0.9746193856464738	8.768660001733624	8.281549610404513
sub-01	1000	UA	V1 L	0.584953494775369	4.0894482818850415	4.03407485203125
sub-01	1000	UA	V1 R	0.47206973287997506	5.32700825037022	5.217908289853781
sub-01	2500	AA	hMT+ L	0.9504840590136826	4.218869496664129	4.047820820321218
sub-01	2500	AA	hMT+ R	0.7887944082083245	3.5625066699888097	3.4506860595140805
sub-01	2500	AA	V1 L	-0.1370640738460453	-0.7627854040955673	-0.7589169644614846
sub-01	2500	AA	V1 R	-0.0836163746726596	-0.555392139116346	-0.5528137627502113
sub-01	2500	UA	hMT+ L	1.385926804461984	7.393166278674755	6.668034982143905
sub-01	2500	UA	hMT+ R	1.1512552853032016	5.5011992427491165	5.115825154449177
sub-01	2500	UA	V1 L	0.49134143505920863	2.6209531363897995	2.575957922235103
sub-01	2500	UA	V1 R	0.5158751161132198	3.36701445842597	3.2811038380609787
sub-02	0500	AA	hMT+ L	1.3099379890870753	8.259806405247796	8.029574345381544
sub-02	0500	AA	hMT+ R	1.020442189943284	6.482601954894559	6.296142603772246
sub-02	0500	AA	V1 L	0.4980865016171438	4.2903416168896715	4.259901639090507
sub-02	0500	AA	V1 R	0.6542222284467625	4.889196693511104	4.842398016626957
sub-02	0500	UA	hMT+ L	1.3575074414212385	11.61650526220575	11.038585413364373
sub-02	0500	UA	hMT+ R	1.1342829616529124	11.12658803666742	10.548574993139853
sub-02	0500	UA	V1 L	0.18808435852180594	2.315489306349617	2.306589410679001
sub-02	0500	UA	V1 R	0.32096789730497494	2.940735157170497	2.929541373988451
sub-02	0750	AA	hMT+ L	1.376390811351751	13.590398441534427	12.200176090133313
sub-02	0750	AA	hMT+ R	1.415154949245088	12.705944535441697	11.46513847688844
sub-02	0750	AA	V1 L	0.3389899596507935	3.6244807323272585	3.591650608507373
sub-02	0750	AA	V1 R	0.5215081632817424	5.151377429044448	5.0632701111206435
sub-02	0750	UA	hMT+ L	1.565835230994163	8.71075242376313	8.310287378804864
sub-02	0750	UA	hMT+ R	1.2858871060461918	7.718616681228356	7.376457523286541
sub-02	0750	UA	V1 L	0.8080558219420751	6.362486964515003	6.223114143641731
sub-02	0750	UA	V1 R	1.158276278866929	7.690550026962725	7.451325320036856
sub-02	1000	AA	hMT+ L	1.704256568307152	8.86991183280117	8.374421652914146
sub-02	1000	AA	hMT+ R	1.0795196439626813	5.901438945531498	5.687325957466772
sub-02	1000	AA	V1 L	0.4883113936006082	3.4589619853977083	3.4188177293329636
sub-02	1000	AA	V1 R	0.7083000715866865	4.479394842305887	4.407943513114827
sub-02	1000	UA	hMT+ L	0.9369580588285041	4.850414691130548	4.7383657814051485
sub-02	1000	UA	hMT+ R	0.6061258050091608	2.821750229548695	2.756835037090811
sub-02	1000	UA	V1 L	0.2370130412051648	1.6942728622265673	1.687073348092732
sub-02	1000	UA	V1 R	0.4718687326305084	2.7926033079863184	2.7736862383389025
sub-02	2500	AA	hMT+ L	1.5679547514396344	9.051075563483906	7.7110576452833905
sub-02	2500	AA	hMT+ R	0.9663222983965855	5.59722915573933	4.905157337891935
sub-02	2500	AA	V1 L	0.4732524677466145	3.587806915478242	3.4791415821245515
sub-02	2500	AA	V1 R	0.5522758427761463	3.94789706599104	3.8130372173997857
sub-02	2500	UA	hMT+ L	1.5726630756063606	7.012827161517263	6.306400469529709
sub-02	2500	UA	hMT+ R	1.244381325647272	4.7867853280280475	4.4382407542782545
sub-02	2500	UA	V1 L	0.6208617541172871	3.3054885225093735	3.1954863620290763
sub-02	2500	UA	V1 R	0.8480245333448317	4.2821635708467864	4.1109513702518825
sub-03	0500	AA	hMT+ L	0.8520594195491434	10.803311282514962	10.33245276363239
sub-03	0500	AA	hMT+ R	0.6023169886829578	7.690904352538529	7.47155083156499
sub-03	0500	AA	V1 L	0.8676448808610098	8.034511714575942	7.8201308144149495
sub-03	0500	AA	V1 R	0.4306500675849336	6.680819650649516	6.5458130504232725
sub-03	0500	UA	hMT+ L	0.6388680386388207	7.56066393340065	7.369469100983777
sub-03	0500	UA	hMT+ R	0.37477570566480967	3.751924635513985	3.710693899142298
sub-03	0500	UA	V1 L	0.4654495475228156	4.68367644445032	4.6214341403553725
sub-03	0500	UA	V1 R	0.3726644582096385	5.867467449445728	5.745280357462578
sub-03	0750	AA	hMT+ L	0.6678767527491648	7.206899378233566	6.964246965470946
sub-03	0750	AA	hMT+ R	0.4439516700775811	4.412682884372289	4.2979409988775465
sub-03	0750	AA	V1 L	0.4733343600162914	4.051713280054275	3.99880393384506
sub-03	0750	AA	V1 R	0.4208949681572532	5.089145093354698	4.996133014959395
sub-03	0750	UA	hMT+ L	0.6606797967955379	5.319700924065267	5.194295241081317
sub-03	0750	UA	hMT+ R	0.3299388747425297	2.5758751328666882	2.5354279980674606
sub-03	0750	UA	V1 L	0.5617241738954545	3.9776919049713357	3.9226551302466004
sub-03	0750	UA	V1 R	0.39928786089681045	3.4795954057982517	3.4357057766127044
sub-03	1000	AA	hMT+ L	0.79162004336249	6.864631138955046	6.589851041086154
sub-03	1000	AA	hMT+ R	0.48073517266204996	3.9352007848429236	3.8704154651637275
sub-03	1000	AA	V1 L	0.7006104203863679	5.02139187472147	4.920592687313478
sub-03	1000	AA	V1 R	0.4605053072568607	4.756553566278838	4.65210854163397
sub-03	1000	UA	hMT+ L	0.6196573220659102	6.86279493023176	6.5700731452698085
sub-03	1000	UA	hMT+ R	0.24159244552710213	2.3803451093968224	2.3496607888751933
sub-03	1000	UA	V1 L	0.5378152782217396	3.819802870029695	3.764913014730082
sub-03	1000	UA	V1 R	0.3847188167049481	4.545312618212493	4.443198533402664
sub-03	2500	AA	hMT+ L	0.7617810572595537	6.109261552628206	5.6045224267949125
sub-03	2500	AA	hMT+ R	0.5132646859430086	3.840227852940947	3.556445579878117
sub-03	2500	AA	V1 L	0.8688847678835443	5.530736223525526	5.183146565269112
sub-03	2500	AA	V1 R	0.633186019021051	6.084173633475492	5.622069023338093
sub-03	2500	UA	hMT+ L	0.1949928682591391	1.1951604178059942	1.1719926942193166
sub-03	2500	UA	hMT+ R	0.10083578036501048	0.4852162568251644	0.47161521441256044
sub-03	2500	UA	V1 L	0.8966007275499991	3.994452041488322	3.8331932240099147
sub-03	2500	UA	V1 R	0.3016511147646547	1.7558642641936897	1.7225520540659878
sub-05	0500	AA	hMT+ L	0.763607175377358	7.31762281246523	7.153433648131427
sub-05	0500	AA	hMT+ R	0.9825147982513927	7.868109409596926	7.661800736000583
sub-05	0500	AA	V1 L	1.3126859464670362	8.470418880529262	8.263049774261061
sub-05	0500	AA	V1 R	0.9257604208907566	7.295246747077209	7.156998173908716
sub-05	0500	UA	hMT+ L	0.7485856797542605	6.417290027033592	6.3038857070200605
sub-05	0500	UA	hMT+ R	0.7517053695868313	5.294058151779786	5.224362182380207
sub-05	0500	UA	V1 L	0.8988000377645929	4.7628271052949085	4.715456659889037
sub-05	0500	UA	V1 R	0.7399111908648349	4.601964161173977	4.565434395949076
sub-05	0750	AA	hMT+ L	0.9178526013736648	9.528234091672038	9.040407547841285
sub-05	0750	AA	hMT+ R	1.100647932491607	10.072191108425844	9.547748197849092
sub-05	0750	AA	V1 L	1.1590422690738924	8.37811870314253	8.075505512000374
sub-05	0750	AA	V1 R	0.7959773534550617	6.543057396618377	6.395218565486419
sub-05	0750	UA	hMT+ L	1.1239674633787962	9.784016853545296	9.310544034788752
sub-05	0750	UA	hMT+ R	1.0641128821283807	7.854389998940954	7.581571092301049
sub-05	0750	UA	V1 L	1.4554962043389148	11.625695909459631	10.86849246132328
sub-05	0750	UA	V1 R	1.179573713030584	9.321496171295406	8.930095235144599
sub-05	1000	AA	hMT+ L	1.0805580469898455	9.9175116701719	9.252592836050498
sub-05	1000	AA	hMT+ R	1.430300322377727	12.447175761085669	11.286157441335476
