subject	tr	task	roi	beta	tval	zval
sub-01	0500	AA	hMT+ L	1.0968095130443698	8.331685699267117	8.126074137724416
sub-01	0500	AA	hMT+ R	1.0024293108023656	6.197732289467744	6.089277077924554
sub-01	0500	AA	V1 L	0.008336757045970682	0.022003308093170453	0.02202557211968046
sub-01	0500	AA	V1 R	0.05921578374826954	0.4550329526239492	0.4546618559688445
sub-01	0500	UA	hMT+ L	1.0562518900337403	8.718456936482603	8.47306470168667
sub-01	0500	UA	hMT+ R	0.9853907201566233	6.097818335910931	6.000522954913495
sub-01	0500	UA	V1 L	0.3033839785084983	1.6300343938649033	1.6269269233300836
sub-01	0500	UA	V1 R	0.3102847724926358	2.323703646801194	2.3164970823601876
sub-01	0750	AA	hMT+ L	1.1082987738068006	7.332294314946615	7.12512929281873
sub-01	0750	AA	hMT+ R	0.9904089524513865	6.158999285681893	6.009229594372452
sub-01	0750	AA	V1 L	0.25177537290358143	1.4170757689125455	1.413236424427574
sub-01	0750	AA	V1 R	0.10531609265880612	0.8506153198000518	0.849059525108688
sub-01	0750	UA	hMT+ L	0.8765422288286359	6.115047866711298	5.975230733703117
sub-01	0750	UA	hMT+ R	0.6542860163419921	3.8862073583958088	3.841106323766954
sub-01	0750	UA	V1 L	0.6567787042956393	3.621100097884132	3.591450236944409
sub-01	0750	UA	V1 R	0.44301797628663975	3.656160324044528	3.6285412487158513
sub-01	1000	AA	hMT+ L	1.2141474874508689	6.777916654232319	6.545533891948666
sub-01	1000	AA	hMT+ R	0.8655092276148528	4.841892435616864	4.738905055542707
sub-01	1000	AA	V1 L	0.2872620054455713	1.535258012944236	1.5296938928301875
sub-01	1000	AA	V1 R	0.26261605606205274	2.1434665929658894	2.1338874530536556
sub-01	1000	UA	hMT+ L	1.2903534352387291	10.996025474829159	10.102154443329606
sub-01	1000	UA	hMT+ R	0.9809712307139271	8.781727419153398	8.297596877102366
sub-01	1000	UA	V1 L	0.587654708250381	4.117205713150962	4.060543305092335
sub-01	1000	UA	V1 R	0.4729392988067448	5.3534030423065415	5.242376803288995
sub-01	2500	AA	hMT+ L	0.9511992384349686	4.223116365109307	4.051746616739437
sub-01	2500	AA	hMT+ R	0.7888692148069336	3.5642242021989263	3.45194664128138
sub-01	2500	AA	V1 L	-0.1377291639328036	-0.7665155620308677	-0.7625897691937462
sub-01	2500	AA	V1 R	-0.08335869963699515	-0.5539684244800646	-0.5513839567694765
sub-01	2500	UA	hMT+ L	1.3857544512864783	7.371459253982184	6.650644982063809
sub-01	2500	UA	hMT+ R	1.1515993910152367	5.504849065670382	5.118882735094864
sub-01	2500	UA	V1 L	0.49157566239741635	2.6206412859738055	2.5755147525187736
sub-01	2500	UA	V1 R	0.5155622587296945	3.36595011545951	3.280154380885423
sub-02	0500	AA	hMT+ L	1.3098076742959186	8.231932100885848	8.004784767976311
sub-02	0500	AA	hMT+ R	1.01664833584021	6.458677529475075	6.274134594600301
sub-02	0500	AA	V1 L	0.5056988940044019	4.3792715806787905	4.347404806878009
sub-02	0500	AA	V1 R	0.6559207121830222	4.921640391486285	4.874399028606617
sub-02	0500	UA	hMT+ L	1.358684843056334	11.411181698054373	10.865238976483768
sub-02	0500	UA	hMT+ R	1.1337828056122299	10.958197560896707	10.405433804287329
sub-02	0500	UA	V1 L	0.18689325877592866	2.3054459216985923	2.2967764781950333
sub-02	0500	UA	V1 R	0.3203092724842123	2.936763240977763	2.925584823657966
sub-02	0750	AA	hMT+ L	1.3763950701340273	13.560747052246239	12.171712171037141
sub-02	0750	AA	hMT+ R	1.4146605075844232	12.599173518798805	11.38470957480705
sub-02	0750	AA	V1 L	0.34230190911664043	3.6949062616412496	3.660024669329384
sub-02	0750	AA	V1 R	0.5169202048642415	5.030224436539284	4.947520010982697
sub-02	0750	UA	hMT+ L	1.566571841153419	8.772486588485515	8.363778499144576
sub-02	0750	UA	hMT+ R	1.2881769939719308	7.723710750715064	7.380258814423547
sub-02	0750	UA	V1 L	0.8118652044929643	6.402012362457544	6.2606398590382275
sub-02	0750	UA	V1 R	1.1587410824677626	7.677892462793423	7.439117377789775
sub-02	1000	AA	hMT+ L	1.7013891179706333	8.796741448373648	8.312729076278705
sub-02	1000	AA	hMT+ R	1.0752735511740783	5.8166134966046865	5.61200339831907
sub-02	1000	AA	V1 L	0.491716659875241	3.4746925864245295	3.4343600515438575
sub-02	1000	AA	V1 R	0.7103500297465721	4.48617936860894	4.414498833993441
sub-02	1000	UA	hMT+ L	0.9412937133883086	4.974214111700415	4.85185016957914
