subject	tr	task	roi	beta	tval	zval
sub-01	0500	UA	hMT+ L	0.013060059867546084	0.10462728603772897	0.10456088017073259
sub-01	0500	UA	hMT+ R	-0.17808797544089358	-0.976688354955049	-0.9757265432781143
sub-01	0500	UA	V1 L	0.17363691995522731	0.8410413330989285	0.8400422628781267
sub-01	0500	UA	V1 R	0.0416380296707269	0.28349122008557054	0.28331074074185836
sub-01	0750	UA	hMT+ L	0.058760761289897004	0.6071715485218281	0.6061912895525817
sub-01	0750	UA	hMT+ R	-0.18822284942248377	-1.490877835604205	-1.4873494434943084
sub-01	0750	UA	V1 L	-0.02937314134775506	-0.2784923941717754	-0.27822920580187915
sub-01	0750	UA	V1 R	-0.09314752145555033	-0.9432237625296098	-0.9420384787454543
sub-01	1000	UA	hMT+ L	-0.004834363549481477	-0.022182614919383645	-0.022113116073777396
sub-01	1000	UA	hMT+ R	0.028559271491952	0.19469608297171095	0.19462076800514963
sub-01	1000	UA	V1 L	-0.038974509099253776	-0.36828025108506734	-0.36760865973317824
sub-01	1000	UA	V1 R	-0.061003887163519246	-0.6539797121179028	-0.6530890928265008
sub-01	2500	UA	hMT+ L	-0.07723055602139514	-0.5203093689230527	-0.5181876988465225
sub-01	2500	UA	hMT+ R	-0.16959718252965536	-1.0789237862950884	-1.0734503576378516
sub-01	2500	UA	V1 L	0.2104338373779692	1.3417174203366709	1.33265991036848
sub-01	2500	UA	V1 R	0.0922970806230666	0.6964155421097953	0.6939276149438213
sub-02	0500	UA	hMT+ L	0.17071006792006405	0.9103620609948849	0.9094024584608145
sub-02	0500	UA	hMT+ R	-0.1502805896445847	-1.0204317051758254	-1.0188793709263613
sub-02	0500	UA	V1 L	0.0699007333273932	0.6034392253512278	0.601585940998946
sub-02	0500	UA	V1 R	0.09335053137804777	0.542185627574661	0.5414983330059947
sub-02	0750	UA	hMT+ L	-0.15903473338456892	-1.0227069299869298	-1.020751581140585
sub-02	0750	UA	hMT+ R	-0.41521013189132144	-2.3662824951564243	-2.353812163966861
sub-02	0750	UA	V1 L	0.04064416035981017	0.43281551110219657	0.4322734810584802
sub-02	0750	UA	V1 R	-0.004042787982783936	0.10010857504310022	0.09975372088295491
