subject	tr	task	roi	beta	tval	zval
sub-01	0500	UA	hMT+ L	1.050916176499348	8.70487078762048	8.459119533675954
sub-01	0500	UA	hMT+ R	0.980523521310572	5.931774732838824	5.842951900400171
sub-01	0500	UA	V1 L	0.29947033727404365	1.6113621546621004	1.6082272154558852
sub-01	0500	UA	V1 R	0.3054026041637761	2.339645255158657	2.332135955870038
sub-01	0750	UA	hMT+ L	0.8743176585471882	6.135784042830527	5.9935965225775405
sub-01	0750	UA	hMT+ R	0.6522462133838118	3.8871016621074452	3.8422877241903484
sub-01	0750	UA	V1 L	0.6471461329104541	3.5971927577140335	3.5681370482957315
sub-01	0750	UA	V1 R	0.43702858733233135	3.6163390848221755	3.5896258036081585
sub-01	1000	UA	hMT+ L	1.2800641376604882	10.917961858902757	10.045825256106365
sub-01	1000	UA	hMT+ R	0.9746193856464738	8.768660001733624	8.281549610404513
sub-01	1000	UA	V1 L	0.584953494775369	4.0894482818850415	4.03407485203125
sub-01	1000	UA	V1 R	0.47206973287997506	5.32700825037022	5.217908289853781
sub-01	2500	UA	hMT+ L	1.385926804461984	7.393166278674755	6.668034982143905
sub-01	2500	UA	hMT+ R	1.1512552853032016	5.5011992427491165	5.115825154449177
sub-01	2500	UA	V1 L	0.49134143505920863	2.6209531363897995	2.575957922235103
sub-01	2500	UA	V1 R	0.5158751161132198	3.36701445842597	3.2811038380609787
sub-02	0500	UA	hMT+ L	1.3575074414212385	11.61650526220575	11.038585413364373
sub-02	0500	UA	hMT+ R	1.1342829616529124	11.12658803666742	10.548574993139853
sub-02	0500	UA	V1 L	0.18808435852180594	2.315489306349617	2.306589410679001
sub-02	0500	UA	V1 R	0.32096789730497494	2.940735157170497	2.929541373988451
sub-02	0750	UA	hMT+ L	1.565835230994163	8.71075242376313	8.310287378804864
sub-02	0750	UA	hMT+ R	1.2858871060461918	7.718616681228356	7.376457523286541
sub-02	0750	UA	V1 L	0.8080558219420751	6.362486964515003	6.223114143641731
sub-02	0750	UA	V1 R	1.158276278866929	7.690550026962725	7.451325320036856
sub-02	1000	UA	hMT+ L	0.9369580588285041	4.850414691130548	4.7383657814051485
