	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24
sub-01_AA_trial0	0.8700826223787516	0.8878298969763414	0.8973016661703523	0.8839096398358893	0.8885708956580421	0.9013701968210377	0.8956603516539962	0.8779752930278384	0.8497349076801585	0.799866554047688	0.8050987338601095	0.8164308007282829	0.80035124923355	0.772322814433943	0.672516082998136	0.696394155104419	0.7326499313161349	0.6984758994233939	0.8330378581456587	0.5966014341202768	0.38010111532492075	0.20436014752777307	0.18666068970259073	0.3440094757936741	0.5895058487037462
sub-01_AA_trial1	0.7760373040483798	0.7827888293751688	0.8287330180224742	0.8568355467740619	0.7931241063602085	0.7942196337147254	0.7292118906577048	0.6971787323797608	0.6446568624108319	0.6916828655646043	0.6868985220334467	0.7552341721705202	0.7138871425457299	0.7001258236961774	0.5967342425357441	0.5709839859671212	0.4708333507966291	0.5622258403389583	0.6627195697740891	0.7411683650046149	0.810655246509517	0.7757038802745306	0.7004673833398438	0.677124801754438	0.6722834085643038
sub-01_AA_trial2	0.7300129248487764	0.6911397100839064	0.7474934115097017	0.7267312873859488	0.6926749941116533	0.5314038456746882	0.5221611300481301	0.4331139085552474	0.44116639925210327	0.46592595206833565	0.6087515198258675	0.7269681474297874	0.7571455607874941	0.7939392850851897	0.7414660459214588	0.8214635489955368	0.610679374464221	0.5805388700816645	0.5567135298574479	0.48442262451817814	0.4155435115722478	0.43453952484555575	0.6336317533611592	0.6614948305233433	0.661704151792954
sub-01_AA_trial3	0.6558886441374853	0.4373981681281316	0.3635898254878739	0.3888983947026984	0.40703578859441475	0.6501028669599284	0.611136168694986	0.5609279120556342	0.6486452764678499	0.7824913867599241	0.8804582151804381	0.9237657231625767	0.9472570025863927	0.9590789574448789	0.9610208680753761	0.9589136702444262	0.9604180284668151	0.9447673732666009	0.9684516434353402	0.9185776292594887	0.8901482370766437	0.8964886969443709	0.9106809908010884	0.8966911877191608	0.9014734720031753
sub-01_AA_trial4	0.7593745961722611	0.7998726541115287	0.7928077982394516	0.7159632958209782	0.6474009559158425	0.3704117971324742	0.4001540841281528	0.366719452785352	0.38273309865818317	0.42743252925149405	0.5858724111244175	0.6015056382115997	0.6460842411407959	0.5750966891837523	0.571004745199745	0.36471636403324353	0.3855678490333345	0.20822338315167072	0.21364268693278357	0.2221784231770741	0.2365504470149451	0.009195917786112416	0.015250502389172934	-0.016023893481984536	-0.047270081885583064
sub-01_AA_trial5	0.09111074619312831	0.20143233101912117	0.23949810076289324	0.1457061136048143	0.15824029300523265	0.06123121565860421	0.17931974955434624	0.22630916789286903	0.44449417905885685	0.36536846829850694	0.49121907666326653	0.4980274353707204	0.38712553726771126	0.4855982560095736	0.48838458781550054	0.3195388694893127	0.050545503713811904	0.3335570839706157	0.23689473244334794	0.2114880443673307	0.25019993878057517	0.38935410229336304	0.4918671549684292	0.6095055283568926	0.7498696844723394
sub-01_AA_trial6	0.8674207559566116	0.8948874457424055	0.9267753612946992	0.9274927600785045	0.9298697110077497	0.9300264708778094	0.8688644132765156	0.826427949519932	0.7162783260805078	0.6193787594541003	0.6768218640340259	0.5490236401088093	0.6226556292068209	0.48885111904945655	0.45750510829795715	0.20899064957616628	0.12435778304143039	0.10235911964485105	0.06525983294588349	0.10773454927584881	0.21424964571977	0.23157961055345608	0.25384859963271095	0.1780801146257841	0.14283540602669373
sub-01_UA_trial0	0.6998861061215563	0.727775552808286	0.7191087975052711	0.6279934220630309	0.6908558572240698	0.7578060919386752	0.6885145984738589	0.6919127972776745	0.8386259570595096	0.8624033118072011	0.8365953904792593	0.7169095167822366	0.8103425775043769	0.710439730198928	0.7193454011612709	0.6794490741880762	0.7048439201730007	0.7400030868075089	0.7202941228885273	0.7363819212248709	0.7692035356564955	0.8365946682488941	0.8716143811157845	0.9205259324583118	0.9088357768567816
sub-01_UA_trial1	0.03863090377354438	0.016015343810009856	0.3030713033862282	0.463007908427365	0.4627056990658217	0.3006451548249974	0.4391293997310953	0.4461373960794788	0.6190906827316058	0.670384655172089	0.6502713467443699	0.6469464255508318	0.5100738822152213	0.49654652959680085	0.6432098521681907	0.5876660073288988	0.5116105491841428	0.42078382060391456	0.4134402764987633	0.23354942888318206	0.13434785744115407	0.050396251049273116	0.22519532444242313	0.2653741601149029	0.18638352205870345
sub-01_UA_trial2	0.6959141579219046	0.6943359009896757	0.7223203643941908	0.7535861510369475	0.7476245599049011	0.7218567298306932	0.6607730238294387	0.6422775158990984	0.5391355133006189	0.5604770121039488	0.45439871950309824	0.4309494843522376	0.5043589644056112	0.7776241543007977	0.8566258166567667	0.7415866842742806	0.6831563118169721	0.5579456670682831	0.488388368791183	0.4880950611226794	0.5310446341954103	0.5976430305907992	0.6722961045212328	0.6127953196463066	0.6189579717254071
sub-01_UA_trial3	0.758154548360214	0.8555260077337229	0.8896465789278742	0.9024599668028204	0.9334289157387696	0.911560683358185	0.8876855522967615	0.7932245856352524	0.7032180361194107	0.6407998932661279	0.45525682438289755	0.04685724589527307	-0.008103072804182971	0.24973896640181426	0.27612210653235414	0.3113592449678269	0.28641016447826323	0.297125836004769	0.2875226188025211	0.4220091580545371	0.5730762736287897	0.6185849726425167	0.7302939707910097	0.713911521052146	0.7488539435108361
sub-01_UA_trial4	0.8367637695811347	0.7494933265416587	0.7033105267206573	0.6622328224384928	0.7511275260059412	0.7303128502252072	0.7609555424675195	0.7947422523995504	0.8728006563351458	0.8746053551368775	0.8765510361713075	0.7892211149114964	0.5491856110684487	0.5088318188278858	0.5999926492394699	0.42005033448129325	0.4913385359555415	0.4635997478665346	0.6709569846885385	0.7138891063927542	0.7311457402129727	0.7487333872224672	0.7158105297015375	0.7400388893876952	0.7818060178089768
sub-01_UA_trial5	-0.27272507328659684	0.17006341136564876	0.20174475577490208	0.5237161483991657	0.7181740859399064	0.7825553203499885	0.8135104943965639	0.836152573489665	0.8008531861274305	0.7227105224915626	0.5646218789775967	0.5553810463336201	0.6055475354857732	0.7465056893827792	0.7545570291170112	0.7940222529852697	0.855984258729481	0.8576652189766548	0.9238525912491247	0.9491656017486241	0.9109356492054068	0.9045248342018254	0.8499201851791948	0.7964593405070315	0.7598370255252452
sub-01_UA_trial6	0.6713824137449834	0.6151516284547032	0.6602941291833906	0.5688175177367808	0.280081073760702	-0.01892436837596469	0.07314111000760198	0.23930493086075327	0.20906525308402163	-0.04874832471345257	0.004706918237094509	0.1363849759728892	0.16167712078905383	0.293108448120076	0.4382622678331916	0.3946236894790621	0.5899111831448872	0.5654213115646324	0.5126457715670745	0.4841052039250915	0.5172554382327552	0.6015805775241205	0.6282858456310075	0.6813592826000595	0.7008841383848937
sub-02_AA_trial0	0.410057224924603	0.3768488477381755	0.6034135820881603	0.803446747236114	0.7991243554394876	0.7055235424450063	0.644261720085073	0.5289255141049265	0.4751532209200463	0.36165370922452117	0.12023081758561552	-0.0030133523124479	0.18138400461282994	0.26722631015481624	0.18042212033797517	0.4341787252267656	0.6804994809962215	0.6978940418064874	0.5626528136716094	0.5900643143472238	0.6536695393677779	0.5116919666411073	0.4092986891582694	0.19400993112796402	0.1997678156528622
sub-02_UA_trial0	0.8219743942066137	0.8375257825752991	0.7802006205694184	0.7055355406169405	0.6913148575627323	0.5138170553794902	0.26825866854796643	0.21839100449952245	0.19750060529543606	0.374861292707822	0.3845000464864816	0.5243260638583898	0.6110803075714417	0.7739596038854442	0.7924102097316855	0.7311147600144913	0.6416631002032639	0.6514628500532175	0.5892953304529449	0.47161492560942586	0.24728846298985105	0.20513457617695577	-0.14130269925360953	-0.24346607352071575	-0.3391847257176754
sub-03_AA_trial0	0.04361725124029201	0.14954601696024414	0.07811364768529376	0.03978113426048457	-0.05520380670884754	-0.0222142082613297	0.01592074112044672	0.11556411607523967	0.03578207286906294	0.010727103549539865	0.24073411072754117	0.403483626884194	0.48535173427323625	0.5641436183122539	0.5949104785952152	0.5965921503563097	0.625995885407579	0.655104896892963	0.6994501661822752	0.7165309664827701	0.6820691611093772	0.7628638026777936	0.7316842948907484	0.6119029595661963	0.6331175866336506
