	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12
sub-01_AA_trial0	0.5978646362061151	0.7173731405781187	0.6653977470776752	0.35469816865818843	-0.13841671408854098	-0.4024731355001274	0.12926276622679148	-0.09197727688799162	0.15318894805104796	0.7399777255824009	0.9635587804386313	0.9117812045505727	0.826946703104967
sub-01_AA_trial1	0.36354686940724823	0.7489385840833233	0.6683528944729201	0.47836345937087843	0.45443751918063213	-0.30136754816226946	0.6307609533247243	0.8636198922641839	0.9378380701141356	0.9422933835554221	0.7914599642599208	0.7879833968861991	0.9383207197709507
sub-01_AA_trial2	0.3309732095556179	0.5230037336398531	0.7427908848908772	0.9126037117367825	0.8193647613612742	0.3631472362120737	0.1292152128504358	-0.15008978284749389	-0.19556643894922385	0.577323732933043	0.925996561776482	0.9595202852563135	0.9737055765529827
sub-01_AA_trial3	0.9154915980898846	0.8743106552588968	0.727239318258237	0.946289739516606	0.9499522930905312	0.9647495615272988	0.9448337846278685	0.9108743671416738	0.91686728750002	0.9013586711691924	0.891373134537433	0.8426470344375981	0.9351419067562338
sub-01_AA_trial4	0.8085293836611671	0.7554282524576527	0.8330359084114201	0.8759533079422585	0.8911053393927194	0.8301545551898475	0.7126650413772786	0.6459822965931225	0.6378093208251601	0.6632741769272943	0.4732659223202805	0.017091038507818044	0.057133097299059285
sub-01_AA_trial5	0.9805539038013139	0.9614388260014564	0.6227580217060065	0.6438110848701385	0.45489780071565755	0.4576846310505735	0.38877983755534273	0.3580872498891576	0.23005341119090558	0.3025542679855157	0.24545293477281221	0.2820017797551985	0.1125843353396457
sub-01_UA_trial0	0.7556743484720174	0.4401062492572543	0.35888490633860903	0.49649513136098733	0.14766770144069064	0.1477158893268555	-0.3225477987041013	-0.04261467832074054	0.6616647822368845	0.6955100715368174	0.8951777780123705	0.8437885509814897	0.6529974138686484
sub-01_UA_trial1	0.4061614414838552	0.5611279354963467	0.53303598707318	0.6033138735593012	0.6096458833698836	0.8206484333239745	0.4180496007328335	0.3868491513709523	0.08557197314849421	0.6685060915498859	0.9344119074463071	0.9567756856770718	0.993074640590395
sub-01_UA_trial2	0.4406419955094157	0.4624977163886257	0.5469061093799149	0.3926590024558559	-0.03699743723815666	-0.5983291694571563	0.31259683024245116	0.4231684591265555	0.38211481093625166	0.7487874452827685	0.6452089593885479	0.9077663404895832	0.8769736917373678
sub-01_UA_trial3	0.8853334473595716	0.9030852760088652	0.8759430846497664	0.8986320143701289	0.7908337018127498	0.9058191843222684	0.9210172412821027	0.8776955014983554	0.8900568164697357	0.819623027244443	0.7968391041893214	0.7493428781641356	0.8708162261569152
